time,mean_spectrum,var_spectrum,enp_spectrum,mean_IQ,var_IQ,KL_spectrum,RMSE_spectrum,CS_spectrum,exceeding_count,time_seq,lable
2241710,20.13355072,28119.90098,23.77736913,0.014945834,3.13E-05,2.052793004,19.13355072,0.119208044,1.700380357,0.715277778,0
2241720,19.49491007,27311.2632,23.8230299,0.014909588,2.49E-05,0.323026863,0.638640644,0.759558483,1.591876786,0.722222222,0
2241730,19.77955711,31009.12681,23.88616951,0.015705469,3.37E-05,0.339675822,0.284647038,0.747852572,1.650439286,0.729166667,0
2241740,21.92256148,27248.6924,24.07853396,0.01474383,3.02E-05,0.348724524,2.143004373,0.729327216,1.617472321,0.736111111,0
2241749,21.48407485,28277.27653,24.09346758,0.015151702,2.70E-05,0.326479958,0.438486635,0.76500254,1.566095536,0.736111111,0
2241800,22.20517631,27249.8983,24.08941499,0.014854659,2.70E-05,0.317879456,0.721101459,0.773888273,1.620133036,0.75,0
2241810,22.60612747,42411.97921,24.11297929,0.017769141,6.75E-05,0.344522365,0.400951165,0.627180519,1.634164286,0.756944444,0
2241820,22.39187933,26324.33718,24.14788282,0.014599021,2.64E-05,0.338392078,0.214248145,0.621176169,1.693619643,0.763888889,0
2241829,22.43333722,25938.51466,24.15983401,0.01438182,2.93E-05,0.326977636,0.041457896,0.771851141,1.596633036,0.763888889,0
2241840,22.55921296,27557.47342,24.1828061,0.014922419,2.79E-05,0.319653454,0.125875736,0.771037606,1.63815,0.777777778,0
2241850,22.29732801,27460.65487,24.18947428,0.014901579,2.76E-05,0.318518229,0.26188495,0.775986535,1.63005,0.784722222,0
2241859,22.10019037,27347.82742,24.23749982,0.014714174,3.20E-05,0.350325457,0.197137645,0.745957673,1.620446429,0.784722222,0
2241910,22.41637233,23807.53405,24.23434053,0.013819002,2.61E-05,0.34206203,0.316181961,0.740115498,1.600669643,0.798611111,0
2241920,22.46215312,23851.05813,24.23221966,0.013872452,2.50E-05,0.313660318,0.045780795,0.782080668,1.67821875,0.805555556,0
2241930,21.76860754,27666.88209,24.26881202,0.01500521,2.61E-05,0.345662638,0.693545584,0.751907911,1.529335714,0.8125,0
2241940,21.91596678,27140.94236,24.25351715,0.014865934,2.56E-05,0.320009739,0.147359247,0.781806896,1.569925,0.819444444,0
2241949,21.98792157,26127.25993,24.25723845,0.014572359,2.52E-05,0.315135388,0.071954789,0.781198724,1.608236607,0.819444444,0
2242000,22.43701535,24735.53242,24.25319032,0.014182759,2.42E-05,0.318607925,0.449093776,0.775886445,1.659763393,0.833333333,0
2242010,22.79960456,24770.1467,24.22484463,0.014118138,2.65E-05,0.318049345,0.362589206,0.782141128,1.710703571,0.840277778,0
2242019,22.28751153,25011.76286,24.25848459,0.014241255,2.49E-05,0.316027669,0.512093024,0.780314784,1.657884821,0.840277778,0
2242030,22.61325775,24935.00692,24.21604427,0.014207651,2.53E-05,0.315464018,0.325746221,0.78061875,1.649317857,0.854166667,0
2242039,22.24537165,23752.1034,24.2670629,0.01386624,2.42E-05,0.312011417,0.3678861,0.78346078,1.652369643,0.854166667,0
2242050,21.6672368,25148.11455,24.2698199,0.014269393,2.51E-05,0.320155561,0.578134849,0.77621113,1.540486607,0.868055556,0
2242059,21.78173747,25979.79185,24.23793677,0.014510704,2.56E-05,0.314149669,0.114500665,0.783733777,1.512759821,0.868055556,0
2242110,21.44645304,26452.04751,24.2252414,0.014496725,3.01E-05,0.344903812,0.335284428,0.767703864,1.450075893,0.881944444,0
2242120,22.23166168,24122.89566,24.24856886,0.013974101,2.45E-05,0.339016529,0.785208635,0.763855664,1.607499107,0.888888889,0
2242130,21.80581605,25783.2353,24.27371551,0.014436642,2.60E-05,0.3299901,0.425845627,0.766944,1.6377625,0.895833333,0
2242140,21.85712028,25469.58616,24.25664736,0.014255934,2.84E-05,0.326425827,0.051304235,0.774713755,1.576471429,0.902777778,0
2242150,21.788709,25847.58539,24.24365659,0.014467385,2.57E-05,0.327915404,0.06841128,0.754250209,1.596922321,0.909722222,0
2242200,22.23881725,24215.88671,24.21216406,0.013958497,2.58E-05,0.31971193,0.450108243,0.755637305,1.677116964,0.916666667,0
2242209,22.03115699,23685.82645,24.17948249,0.013808927,2.51E-05,0.316343958,0.207660261,0.781871217,1.606634821,0.916666667,0
2242220,21.99078443,23241.20613,24.19896729,0.013629675,2.61E-05,0.314801425,0.040372559,0.782688714,1.65465,0.930555556,0
2242230,21.50517601,24493.56219,24.18833687,0.014006115,2.67E-05,0.315627428,0.485608415,0.779035153,1.612119643,0.9375,0
2242240,20.85219006,25001.19521,24.09903271,0.014168382,2.64E-05,0.317150944,0.652985951,0.779548798,1.660058929,0.944444444,0
2242250,21.30319642,24145.37375,24.08059258,0.013937292,2.54E-05,0.316669936,0.451006362,0.773881521,1.729369643,0.951388889,0
2242300,20.85830483,26986.07647,24.03488378,0.014684582,2.92E-05,0.321752638,0.444891594,0.773319486,1.592816071,0.958333333,0
2242310,20.98087157,25092.72573,24.01547387,0.014096782,2.93E-05,0.320122547,0.122566744,0.773797667,1.595923214,0.965277778,0
2242320,21.11177234,24926.40945,23.99559724,0.014103466,2.76E-05,0.318532349,0.130900771,0.781656878,1.51415625,0.972222222,0
